filename,phase,topic,source,notion_location,description
img-000.jpg,Phase 1,Pelvic Floor,Original illustration,Phase 1 page / Atlas,Regular Kegel (squeeze up) vs Reverse Kegel (bear down) side-by-side comparison
img-001.jpg,Phase 2,Anatomy,Cleveland Clinic 2025,Atlas / Phase 2 page,Clitoral complex — full internal structure showing body root crura vestibular bulbs
img-002.jpg,Phase 2,Anatomy,Joannides Guide to Getting It On,Atlas,Labeled external vulvar anatomy — mons pubis hood clitoris urethra labia majora minora
img-003.png,Phase 2,Anatomy,OMGYes Essentials,Atlas,Pelvic floor inferior view — pubococcygeus bulbospongiosus ischiocavernosus + Bartholin's glands
img-005.jpg,Phase 2,Anatomy,Joannides Guide to Getting It On,Atlas,Vulvar innervation — four nerve pathways (pudendal ilioingual genitofemoral posterior cutaneous)
img-006.jpg,Phase 2,Anatomy,Mayo Clinic (legacy),Atlas (legacy),LEGACY sagittal cross-section + depth zones. Replaced by img-056 in PDF v3.
img-007.png,Phase 2,Anatomy,Original illustration,Atlas,Sagittal pelvis with detailed anatomical labels — ovary uterus rectum bladder pubic bone
img-009.png,Phase 2,Anatomy,OMGYes Essentials,Atlas / Phase 2 page,G-spot come-hither stimulation technique illustration on anterior vaginal wall
img-011.jpg,Phase 2,Anatomy,Caitlin V,Atlas,A-spot location with finger inserted to anterior fornix near cervix
img-012.jpg,Phase 3,Environment,Original VATOM infographic,Atlas / Phase 3 page,Sensory Runway five channels infographic — visual auditory tactile olfactory mental load
img-013.png,Phase 2,Anatomy,Healthwise,Atlas,Internal reproductive anatomy frontal view — uterus ovaries fallopian tubes cervix vagina
img-015.jpg,Phase 3,Cycle,Original illustration,Atlas / Phase 3 page,Menstrual cycle wheel with four phases + estrogen progesterone testosterone curves
img-016.jpg,Phase 4,Manual,OMGYes Essentials,Atlas / Phase 4 page,Framing technique — non-dominant hand pulls up on mons to expose clitoral hood
img-017.jpg,Phase 4,Manual,Caitlin V,Atlas,The Sushi Roll + Orbiting techniques side by side
img-018.jpg,Phase 4,Manual,Clinical educator analysis,Atlas,The Pulse Press direct clitoral technique — pad flat press down release
img-019.jpg,Phase 4,Manual,Kenneth Play,Atlas,G-zone dual pressure — downward on pubic bone + upward on anterior vaginal wall
img-020.jpg,Phase 4,Manual,Original illustration,Atlas / Phase 4 page,Dual stimulation principle cross-section — external clitoral + internal G-spot simultaneously
img-021.png,Phase 4,Manual,Caitlin V,Atlas,Hand position guide — 11/1 o'clock flanking with finger placement
img-022.png,Phase 4,Manual,Original illustration,Atlas,Manual stimulation positioning face-to-face — full hand engagement seated
img-023.jpg,Phase 4,Manual,Original illustration,Atlas / Phase 4 page,Come-Hither vs Anchoring In comparison diagram with warning bar
